0, p1s1,p1s2,p1s3,p2s1,p2s2,p2s3
1,807.5499103,727.834473,727.834473,850.9288015,764.2977396,803.6616369
2,807.5499103,743.5635806,727.834473,850.9288015,850.9288015,803.6616369
3,807.5499103,764.2977396,727.834473,850.9288015,850.9288015,803.6616369
4,807.5499103,807.5499103,727.834473,850.9288015,850.9288015,850.9288015
5,807.5499103,807.5499103,803.6616369,850.9288015,850.9288015,850.9288015
6,807.5499103,893.5205725,803.6616369,850.9288015,850.9288015,850.9288015
7,807.5499103,893.5205725,807.5499103,850.9288015,850.9288015,850.9288015
8,807.5499103,893.5205725,807.5499103,850.9288015,850.9288015,850.9288015
9,807.5499103,893.5205725,850.9288015,850.9288015,850.9288015,850.9288015
10,807.5499103,893.5205725,850.9288015,850.9288015,850.9288015,850.9288015
11,830.2749743,893.5205725,850.9288015,850.9288015,850.9288015,882.1488698
12,830.2749743,893.5205725,850.9288015,850.9288015,850.9288015,882.1488698
13,830.2749743,893.5205725,850.9288015,850.9288015,850.9288015,882.1488698
14,830.2749743,893.5205725,850.9288015,850.9288015,850.9288015,882.1488698
15,830.2749743,893.5205725,850.9288015,850.9288015,850.9288015,882.1488698
16,850.9288015,893.5205725,850.9288015,850.9288015,850.9288015,882.1488698
17,850.9288015,1000,850.9288015,850.9288015,850.9288015,882.1488698
18,850.9288015,1000,850.9288015,850.9288015,850.9288015,882.1488698
19,850.9288015,1000,850.9288015,850.9288015,850.9288015,882.1488698
20,850.9288015,1000,1000,850.9288015,850.9288015,882.1488698
21,888.8888889,1000,1000,850.9288015,850.9288015,882.1488698
22,888.8888889,1000,1000,850.9288015,850.9288015,882.1488698
23,888.8888889,1000,1000,850.9288015,850.9288015,882.1488698
24,888.8888889,1000,1000,850.9288015,850.9288015,882.1488698
25,893.5205725,1000,1000,850.9288015,850.9288015,882.1488698
