Name | Player 1 Type | Player 2 Type | Function Type | Primary Attributes | Secondary Attributes | Parents Retained | Mutation Rate
tree-attributes-p1s3 | MinimaxPlayer | MinimaxPlayer | FunctionTree | 1 | 3 | 0.3 | 0.5

Iteration | Time Taken | Maximum Utility | Average Utility | Stddev of Utility | Battle ID | MoveList
1 | 41.939 | 666.666666667 | -649.762750574 | 925.80064375 | 393 | [other_primary_1=other_secondary_3, self_secondary_3=((self_secondary_3 * self_secondary_3) + (65 * self_primary_1)), other_secondary_2=(3 * (other_secondary_2 / other_primary_1)), other_primary_1=((other_secondary_3 + other_secondary_2) / 3), self_secondary_3=((self_primary_1 - other_secondary_3) * (other_secondary_2 / self_secondary_3)), other_secondary_1=other_secondary_1]
2 | 56.145 | 666.666666667 | -387.225399708 | 934.920089284 | 393 | [other_primary_1=other_secondary_3, self_secondary_3=((self_secondary_3 * self_secondary_3) + (65 * self_primary_1)), other_secondary_2=(3 * (other_secondary_2 / other_primary_1)), other_primary_1=((other_secondary_3 + other_secondary_2) / 3), self_secondary_3=((self_primary_1 - other_secondary_3) * (other_secondary_2 / self_secondary_3)), other_secondary_1=other_secondary_1]
3 | 31.2 | 666.666666667 | -277.62934493 | 938.905413859 | 393 | [other_primary_1=other_secondary_3, self_secondary_3=((self_secondary_3 * self_secondary_3) + (65 * self_primary_1)), other_secondary_2=(3 * (other_secondary_2 / other_primary_1)), other_primary_1=((other_secondary_3 + other_secondary_2) / 3), self_secondary_3=((self_primary_1 - other_secondary_3) * (other_secondary_2 / self_secondary_3)), other_secondary_1=other_secondary_1]
4 | 31.692 | 666.666666667 | -289.090867589 | 941.65759973 | 393 | [other_primary_1=other_secondary_3, self_secondary_3=((self_secondary_3 * self_secondary_3) + (65 * self_primary_1)), other_secondary_2=(3 * (other_secondary_2 / other_primary_1)), other_primary_1=((other_secondary_3 + other_secondary_2) / 3), self_secondary_3=((self_primary_1 - other_secondary_3) * (other_secondary_2 / self_secondary_3)), other_secondary_1=other_secondary_1]
5 | 32.875 | 666.666666667 | -322.462930368 | 952.005442171 | 393 | [other_primary_1=other_secondary_3, self_secondary_3=((self_secondary_3 * self_secondary_3) + (65 * self_primary_1)), other_secondary_2=(3 * (other_secondary_2 / other_primary_1)), other_primary_1=((other_secondary_3 + other_secondary_2) / 3), self_secondary_3=((self_primary_1 - other_secondary_3) * (other_secondary_2 / self_secondary_3)), other_secondary_1=other_secondary_1]
6 | 31.545 | 666.666666667 | -267.284880099 | 939.194264325 | 393 | [other_primary_1=other_secondary_3, self_secondary_3=((self_secondary_3 * self_secondary_3) + (65 * self_primary_1)), other_secondary_2=(3 * (other_secondary_2 / other_primary_1)), other_primary_1=((other_secondary_3 + other_secondary_2) / 3), self_secondary_3=((self_primary_1 - other_secondary_3) * (other_secondary_2 / self_secondary_3)), other_secondary_1=other_secondary_1]
7 | 31.462 | 727.834473024 | -367.014667511 | 959.549761949 | 2352 | [other_primary_1=((other_secondary_1 / 5) / 3), self_primary_1=((self_primary_1 + 10) / 2), self_secondary_3=((self_secondary_3 - other_primary_1) * (other_secondary_1 / self_secondary_2)), other_primary_1=((self_secondary_2 / 3) - (other_primary_1 / other_secondary_1)), other_primary_1=((other_secondary_3 / other_primary_1) + 1), other_secondary_3=(2 * (52 - other_secondary_3))]
8 | 32.082 | 727.834473024 | -285.932997678 | 951.518289043 | 2352 | [other_primary_1=((other_secondary_1 / 5) / 3), self_primary_1=((self_primary_1 + 10) / 2), self_secondary_3=((self_secondary_3 - other_primary_1) * (other_secondary_1 / self_secondary_2)), other_primary_1=((self_secondary_2 / 3) - (other_primary_1 / other_secondary_1)), other_primary_1=((other_secondary_3 / other_primary_1) + 1), other_secondary_3=(2 * (52 - other_secondary_3))]
9 | 31.681 | 727.834473024 | -321.71782081 | 950.567912064 | 2352 | [other_primary_1=((other_secondary_1 / 5) / 3), self_primary_1=((self_primary_1 + 10) / 2), self_secondary_3=((self_secondary_3 - other_primary_1) * (other_secondary_1 / self_secondary_2)), other_primary_1=((self_secondary_2 / 3) - (other_primary_1 / other_secondary_1)), other_primary_1=((other_secondary_3 / other_primary_1) + 1), other_secondary_3=(2 * (52 - other_secondary_3))]
10 | 33.413 | 727.834473024 | -347.723005881 | 963.249176915 | 2352 | [other_primary_1=((other_secondary_1 / 5) / 3), self_primary_1=((self_primary_1 + 10) / 2), self_secondary_3=((self_secondary_3 - other_primary_1) * (other_secondary_1 / self_secondary_2)), other_primary_1=((self_secondary_2 / 3) - (other_primary_1 / other_secondary_1)), other_primary_1=((other_secondary_3 / other_primary_1) + 1), other_secondary_3=(2 * (52 - other_secondary_3))]
